x,y,,,,,,,,T,,,,ax,ay,az,g1,g2,g3,z
-9.285961,7.167271,,,,,,,,19,,,,-60.93674,23.25009,19.79095,-0.02530003,-0.2955044,-0.2781405,3.08495
-9.251918,7.366222,,,,,,,,19.2,,,,-66.04741,7.864474,13.26627,-0.03494067,-0.09134643,-0.1405616,3.08158
-9.223763,7.559956,,,,,,,,19.4,,,,13.63977,-37.03447,13.28638,-0.04484763,0.107645,0.05475459,3.07423
-9.192068,7.76835,,,,,,,,19.6,,,,58.78915,5.364927,-0.6272808,0.05811017,-0.05512743,-0.2455435,3.07249
-9.179993,7.973572,,,,,,,,19.8,,,,-49.4192,34.15137,12.60212,-0.0396811,-0.1360343,-0.2300439,3.05741
-9.176112,8.178105,,,,,,,,20,,,,-2.648466,20.39429,11.92983,-0.02343582,0.08069378,0.0334493,3.05848
-9.165736,8.37901,,,,,,,,20.2,,,,6.087497,-36.01789,16.27674,0.04005394,-0.0819721,-0.344613,3.06867
-9.143634,8.577703,,,,,,,,20.4,,,,-12.73715,-23.02264,8.130709,0.2294047,0.3098854,0.358568,3.08512
-9.129852,8.774626,,,,,,,,20.6,,,,-6.919243,21.21311,2.932418,0.1803493,0.06013418,0.06199839,3.10814
-9.132442,8.962455,,,,,,,,20.8,,,,25.71037,-13.2974,12.08306,0.2767024,-0.04181163,-0.01150486,3.12845
-9.134833,9.156428,,,,,,,,21,,,,8.991664,-7.476613,8.858546,-0.1899367,-0.000852212,-0.1038633,3.13125
-9.148717,9.349614,,,,,,,,21.2,,,,-3.666002,-10.02452,11.92025,-0.07669904,0.03829626,-0.06716492,3.1221
-9.164039,9.549121,,,,,,,,21.4,,,,-20.36364,7.528807,8.870518,-0.05049353,0.2576342,0.5354552,3.11411
-9.178756,9.75072,,,,,,,,21.6,,,,66.02155,-11.57309,4.61219,0.1418932,0.07904262,0.1574461,3.11389
-9.189874,9.945758,,,,,,,,21.8,,,,-37.53342,27.79955,13.84327,-0.1372593,-0.2884736,0.1623463,3.11289
-9.181432,10.13611,,,,,,,,22,,,,34.22224,25.63568,2.744713,0.03398193,-0.1409878,-0.3433347,3.11589
-9.155787,10.32705,,,,,,,,22.2,,,,-55.49712,28.6155,20.98805,0.1796036,0.2451706,0.3898335,3.11789
-9.135478,10.51801,,,,,,,,22.4,,,,4.467102,16.56261,11.75074,0.1639975,0.228659,0.4770787,3.11873
-9.098044,10.70087,,,,,,,,22.6,,,,22.12099,-10.0815,-0.01819593,0.0376571,-0.08191884,-0.06061355,3.11259
-9.070739,10.88285,,,,,,,,22.8,,,,-10.20074,45.10389,7.117962,0.03978763,0.03888215,0.5199556,3.10858
-9.03648,11.08048,,,,,,,,23,,,,9.509291,34.50476,2.404736,-0.04889564,-0.1945173,-0.3156379,3.11055
-8.987514,11.28114,,,,,,,,23.2,,,,-55.51723,44.57046,19.95902,0.1039165,0.03579288,0.1242631,3.11067
-8.937397,11.47815,,,,,,,,23.4,,,,-53.0105,10.68389,4.219541,0.06434197,-0.02796319,-0.129909,3.10189
-8.894217,11.67797,,,,,,,,23.6,,,,-32.82977,-29.13265,0.6703765,0.2421879,0.2526275,0.3376888,3.09036
